TI-Beam01,,,,,,,
,,Name,Type,Description (Value),Unit,IFC 4.3,Documentation
,,Tendon Profile,Property,,Label,ePset_Dimensions.Tendon Profile,
,,Thickness of Ducts,Property,,Label,ePset_Dimensions.Thickness of Ducts,
,Post-Tensioning Hardware,,Group,,,ePset_Post-Tensioning Hardware,
,,Anchorage Type,Property,,Label,ePset_Post-Tensioning Hardware.Anchorage Type,
,,Material Strength of Bearing Plates,Property,,Label,ePset_Post-Tensioning Hardware.Material Strength of Bearing Plates,
,,Number of Anchor Nuts,Property,,Label,ePset_Post-Tensioning Hardware.Number of Anchor Nuts,
,,Number of Grout Caps Used,Property,,Label,ePset_Post-Tensioning Hardware.Number of Grout Caps Used,
,,Properties of Stressing Jacks Used,Property,,Label,ePset_Post-Tensioning Hardware.Properties of Stressing Jacks Used,
,,Shape of Bearing Plates,Property,,Label,ePset_Post-Tensioning Hardware.Shape of Bearing Plates,
,,Size of Bearing Plates,Property,,Label,ePset_Post-Tensioning Hardware.Size of Bearing Plates,
,,Size of Wedge Plates Used,Property,,Label,ePset_Post-Tensioning Hardware.Size of Wedge Plates Used,
,,Size of Wedges Used,Property,,Label,ePset_Post-Tensioning Hardware.Size of Wedges Used,
,,Type of Bearing Plates,Property,,Label,ePset_Post-Tensioning Hardware.Type of Bearing Plates,
,,Type of Grout Inlet and Outlet Valves,Property,,Label,ePset_Post-Tensioning Hardware.Type of Grout Inlet and Outlet Valves,
,,Type of Grout Plugs,Property,,Label,ePset_Post-Tensioning Hardware.Type of Grout Plugs,
,Properties,,Group,,,ePset_Properties,
,,Admixtures Used for Grouting,Property,,Label,ePset_Properties.Admixtures Used for Grouting,
,,Bonded or Unbonded Post Tensioning,Property,,Label,ePset_Properties.Bonded or Unbonded Post Tensioning,
,,Concrete Strength at Time of Stressing,Property,,Label,ePset_Properties.Concrete Strength at Time of Stressing,
,,Metal Ducts Galvanized (Yes/No?),Property,,Label,ePset_Properties.Metal Ducts Galvanized (Yes/No?),
,,Name of Grout Used,Property,,Label,ePset_Properties.Name of Grout Used,
,,Number of Ducts,Property,,Label,ePset_Properties.Number of Ducts,
,,Number of Strands,Property,,Label,ePset_Properties.Number of Strands,
,,Prestressing End,Property,,Label,ePset_Properties.Prestressing End,
,,Properties of Grout Used,Property,,Label,ePset_Properties.Properties of Grout Used,
,,Properties of Rigid-Ducts (Grade),Property,,Label,ePset_Properties.Properties of Rigid-Ducts (Grade),
,,Properties of Strands,Property,,Label,ePset_Properties.Properties of Strands,
,,Stresses Developed By Anchorage and Couplers,Property,,Label,ePset_Properties.Stresses Developed By Anchorage and Couplers,
,,Type of Cement Used for Grouting,Property,,Label,ePset_Properties.Type of Cement Used for Grouting,
,,Type of Ducts Used (Metal/Polyethylene),Property,,Label,ePset_Properties.Type of Ducts Used (Metal/Polyethylene),
,,Type of Polyethylene Ducts (Rigid/Semi-Rigid),Property,,Label,ePset_Properties.Type of Polyethylene Ducts (Rigid/Semi-Rigid),
,,Type of Transition Fittings Used,Property,,Label,ePset_Properties.Type of Transition Fittings Used,
,Spliced Girders,,Group,,,ePset_Spliced Girders,
,,Abrupt Profile Change Locations of Tendon Along the Length of Beam,Property,,Label,ePset_Spliced Girders.Abrupt Profile Change Locations of Tendon Along the Length of Beam,
,,Anchorage Type,Property,,Label,ePset_Spliced Girders.Anchorage Type,
,,Length of Each Beam Before Splicing,Property,,Label,ePset_Spliced Girders.Length of Each Beam Before Splicing,
,,Location of Each Tendon on End Cross Section,Property,,Label,ePset_Spliced Girders.Location of Each Tendon on End Cross Section,
,,Location of Each Tendon on Start Cross Section,Property,,Label,ePset_Spliced Girders.Location of Each Tendon on Start Cross Section,
,,Material Strength of Bearing Plates,Property,,Label,ePset_Spliced Girders.Material Strength of Bearing Plates,
,,Number of Anchor Nuts,Property,,Label,ePset_Spliced Girders.Number of Anchor Nuts,
,,Number of Beams in Cross Section,Property,,Label,ePset_Spliced Girders.Number of Beams in Cross Section,
,,Number of Grout Caps,Property,,Label,ePset_Spliced Girders.Number of Grout Caps,
,,Number of Spans After Splicing,Property,,Label,ePset_Spliced Girders.Number of Spans After Splicing,
,,Number of Spans Before Splicing,Property,,Label,ePset_Spliced Girders.Number of Spans Before Splicing,
,,Number of Temporary Supports,Property,,Label,ePset_Spliced Girders.NumbNumber of Temporary Supports,
,,Number of Tendons in Each Beam,Property,,Label,ePset_Spliced Girders.Number of Tendons in Each Beam,
,,Profile of Each Tendon,Property,,Label,ePset_Spliced Girders.Profile of Each Tendon,
,,Properties of Stressing Jacks Used,Property,,Label,ePset_Spliced Girders.Properties of Stressing Jacks Used,
,,Shape of Bearing Plates,Property,,Label,ePset_Spliced Girders.Shape of Bearing Plates,
,,Shape of Wedge Plate,Property,,Label,ePset_Spliced Girders.ShapShape of Wedge Plate,
,,Size of Bearing Plates,Property,,Label,ePset_Spliced Girders.Size of Bearing Plates,
,,Size of Wedge Plate in Elevation,Property,,Label,ePset_Spliced Girders.Size of Wedge Plate in Elevation,
,,Size of Wedge Plate in Plan,Property,,Label,ePset_Spliced Girders.Size of Wedge Plate in Plan,
,,Size of Wedge Plates,Property,,Label,ePset_Spliced Girders.Size of Wedge Plates,
,,Size of Wedges,Property,,Label,ePset_Spliced Girders.Size of Wedges,
,,Total Length of Beams After Splicing,Property,,Label,ePset_Spliced Girders.Total Length of Beams After Splicing,
,,Type of Bearing Plates,Property,,Label,ePset_Spliced Girders.Type of Bearing Plates,
,,Type of Grout Inlet and Outlet Valves,Property,,Label,ePset_Spliced Girders.Type of Grout Inlet and Outlet Valves,
,,Type of Grout Plugs,Property,,Label,ePset_Spliced Girders.TypeType of Grout Plugs,
TendonConduit for Tendon-Top1,,,Object,,,IfcTendonConduit,
,Qto_ReinforcingElementBaseQuantities,,Group,Base quantities that are common to the definition of all occurrences of reinforcement.,,Qto_ReinforcingElementBaseQuantities,Base quantities that are common to the definition of all occurrences of reinforcement.
,,Count,Property,Total count of reinforcing items.,Label,Qto_ReinforcingElementBaseQuantities.Count,Total count of reinforcing items.
,,Length,Property,"The nominal length of the transition section. The size information is provided in addition to the shape representation and the geometric parameters used within. In cases of inconsistency between the geometric parameters and the size properties, provided in the attached property set, the geometric parameters take precedence.",Label,Qto_ReinforcingElementBaseQuantities.Length,"The nominal length of the transition section. The size information is provided in addition to the shape representation and the geometric parameters used within. In cases of inconsistency between the geometric parameters and the size properties, provided i"
,,Weight,Property,The weight of the humidifier.,Label,Qto_ReinforcingElementBaseQuantities.Weight,The weight of the humidifier.
,Pset_ElementComponentCommon,,Group,"Set of common properties of component elements (especially discrete accessories, but also fasteners, reinforcement elements, or other types of components).",,Pset_ElementComponentCommon,"Set of common properties of component elements (especially discrete accessories, but also fasteners, reinforcement elements, or other types of components)."
,,CorrosionTreatment,Property,Determines corrosion treatment for metal components. This property is provided if the requirement needs to be expressed (a) independently of a material specification and (b) as a mere requirements statement rather than a workshop design/ processing feature.,Label,Pset_ElementComponentCommon.CorrosionTreatment,Determines corrosion treatment for metal components. This property is provided if the requirement needs to be expressed (a) independently of a material specification and (b) as a mere requirements statement rather than a workshop design/ processing featur
,,DeliveryType,Property,Determines how the accessory will be delivered to the site.,Label,Pset_ElementComponentCommon.DeliveryType,Determines how the accessory will be delivered to the site.
,,Status,Property,"Status of the element, predominately used in renovation or retrofitting projects. The status can be assigned to as ""New"" - element designed as new addition, ""Existing"" - element exists and remains, ""Demolish"" - element existed but is to be demolished,  ""Temporary"" - element will exists only temporary (like a temporary support structure).",Label,Pset_ElementComponentCommon.Status,"Status of the element, predominately used in renovation or retrofitting projects. The status can be assigned to as ""New"" - element designed as new addition, ""Existing"" - element exists and remains, ""Demolish"" - element existed but is to be demolished,  ""T"
,CT for IfcElement,,Group,,,CT for IfcElement,
,,Body AdvancedSweptSolid Geometry,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_AdvancedSweptSolid_Geometry/content.html
Applicable entity: IfcElement",Label,CT for IfcElement.Body AdvancedSweptSolid Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_AdvancedSweptSolid_Geometry/content.html
Applicable entity: IfcElement"
,,Body SurfaceModel Geometry,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_SurfaceModel_Geometry/content.html
Applicable entity: IfcElement",Label,CT for IfcElement.Body SurfaceModel Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_SurfaceModel_Geometry/content.html
Applicable entity: IfcElement"
,,Body SweptSolid PolyCurve Geometry,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_SweptSolid_Geometry/Body_SweptSolid_PolyCurve_Geometry/content.html
Applicable entity: IfcElement",Label,CT for IfcElement.Body SweptSolid PolyCurve Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_SweptSolid_Geometry/Body_SweptSolid_PolyCurve_Geometry/content.html
Applicable entity: IfcElement"
,,Body Tessellation Geometry,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_Tessellation_Geometry/content.html
Applicable entity: IfcElement",Label,CT for IfcElement.Body Tessellation Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_Tessellation_Geometry/content.html
Applicable entity: IfcElement"
,CT for IfcProduct,,Group,,,CT for IfcProduct,
,,Mapped Geometry,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Mapped_Geometry/content.html
Applicable entity: IfcProduct",Label,CT for IfcProduct.Mapped Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Mapped_Geometry/content.html
Applicable entity: IfcProduct"
,,Product Local Placement,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Placement/Product_Local_Placement/content.html
Applicable entity: IfcProduct",Label,CT for IfcProduct.Product Local Placement,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Placement/Product_Local_Placement/content.html
Applicable entity: IfcProduct"
,CT for IfcObject,,Group,,,CT for IfcObject,
,,Object Predefined Type,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_Predefined_Type/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Object Predefined Type,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_Predefined_Type/content.html
Applicable entity: IfcObject"
,,Object Typing,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Object_Typing/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Object Typing,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Object_Typing/content.html
Applicable entity: IfcObject"
,,Object User Identity,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_User_Identity/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Object User Identity,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_User_Identity/content.html
Applicable entity: IfcObject"
,,Property Sets for Objects,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Property_Sets/Property_Sets_for_Objects/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Property Sets for Objects,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Property_Sets/Property_Sets_for_Objects/content.html
Applicable entity: IfcObject"
,,Property Sets with Override,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts//Object_Definition/Property_Sets/Property_Sets_for_Objects/Property_Sets_with_Override/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Property Sets with Override,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts//Object_Definition/Property_Sets/Property_Sets_for_Objects/Property_Sets_with_Override/content.html
Applicable entity: IfcObject"
,,Quantity Sets,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Quantity_Sets/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Quantity Sets,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Quantity_Sets/content.html
Applicable entity: IfcObject"
,CT for IfcObjectDefinition,,Group,,,CT for IfcObjectDefinition,
,,Classification Association,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Association/Classification_Association/content.html
Applicable entity: IfcObjectDefinition",Label,CT for IfcObjectDefinition.Classification Association,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Association/Classification_Association/content.html
Applicable entity: IfcObjectDefinition"
,,Material Single,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Association/Material_Association/Material_Single/content.html
Applicable entity: IfcObjectDefinition",Label,CT for IfcObjectDefinition.Material Single,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Association/Material_Association/Material_Single/content.html
Applicable entity: IfcObjectDefinition"
,CT for IfcRoot,,Group,,,CT for IfcRoot,
,,Object Attributes,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/content.html
Applicable entity: IfcRoot",Label,CT for IfcRoot.Object Attributes,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/content.html
Applicable entity: IfcRoot"
,,Object Occurrence Attributes,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_Occurrence_Attributes/content.html
Applicable entity: IfcRoot",Label,CT for IfcRoot.Object Occurrence Attributes,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_Occurrence_Attributes/content.html
Applicable entity: IfcRoot"
,,Property Sets,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Property_Sets/content.html
Applicable entity: IfcRoot",Label,CT for IfcRoot.Property Sets,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Property_Sets/content.html
Applicable entity: IfcRoot"
Tendon-Bottom01 - Beam01,,,Object,,,IfcTendon,
,CT for IfcTendon,,Group,,,CT for IfcTendon,
,,Tendon Attributes,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts//Object_Attributes/Object_Occurrence_Attributes/Element_Occurrence_Attributes/Tendon_Attributes/content.html
Applicable entity: IfcTendon",Label,CT for IfcTendon.Tendon Attributes,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts//Object_Attributes/Object_Occurrence_Attributes/Element_Occurrence_Attributes/Tendon_Attributes/content.html
Applicable entity: IfcTendon"
,Qto_ReinforcingElementBaseQuantities,,Group,Base quantities that are common to the definition of all occurrences of reinforcement.,,Qto_ReinforcingElementBaseQuantities,Base quantities that are common to the definition of all occurrences of reinforcement.
,,Count,Property,Total count of reinforcing items.,Label,Qto_ReinforcingElementBaseQuantities.Count,Total count of reinforcing items.
,,Length,Property,"The nominal length of the transition section. The size information is provided in addition to the shape representation and the geometric parameters used within. In cases of inconsistency between the geometric parameters and the size properties, provided in the attached property set, the geometric parameters take precedence.",Label,Qto_ReinforcingElementBaseQuantities.Length,"The nominal length of the transition section. The size information is provided in addition to the shape representation and the geometric parameters used within. In cases of inconsistency between the geometric parameters and the size properties, provided i"
,,Weight,Property,The weight of the humidifier.,Label,Qto_ReinforcingElementBaseQuantities.Weight,The weight of the humidifier.
,Pset_ElementComponentCommon,,Group,"Set of common properties of component elements (especially discrete accessories, but also fasteners, reinforcement elements, or other types of components).",,Pset_ElementComponentCommon,"Set of common properties of component elements (especially discrete accessories, but also fasteners, reinforcement elements, or other types of components)."
,,CorrosionTreatment,Property,Determines corrosion treatment for metal components. This property is provided if the requirement needs to be expressed (a) independently of a material specification and (b) as a mere requirements statement rather than a workshop design/ processing feature.,Label,Pset_ElementComponentCommon.CorrosionTreatment,Determines corrosion treatment for metal components. This property is provided if the requirement needs to be expressed (a) independently of a material specification and (b) as a mere requirements statement rather than a workshop design/ processing featur
,,DeliveryType,Property,Determines how the accessory will be delivered to the site.,Label,Pset_ElementComponentCommon.DeliveryType,Determines how the accessory will be delivered to the site.
,,Status,Property,"Status of the element, predominately used in renovation or retrofitting projects. The status can be assigned to as ""New"" - element designed as new addition, ""Existing"" - element exists and remains, ""Demolish"" - element existed but is to be demolished,  ""Temporary"" - element will exists only temporary (like a temporary support structure).",Label,Pset_ElementComponentCommon.Status,"Status of the element, predominately used in renovation or retrofitting projects. The status can be assigned to as ""New"" - element designed as new addition, ""Existing"" - element exists and remains, ""Demolish"" - element existed but is to be demolished,  ""T"
,CT for IfcElement,,Group,,,CT for IfcElement,
,,Body AdvancedSweptSolid Geometry,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_AdvancedSweptSolid_Geometry/content.html
Applicable entity: IfcElement",Label,CT for IfcElement.Body AdvancedSweptSolid Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_AdvancedSweptSolid_Geometry/content.html
Applicable entity: IfcElement"
,,Body SurfaceModel Geometry,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_SurfaceModel_Geometry/content.html
Applicable entity: IfcElement",Label,CT for IfcElement.Body SurfaceModel Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_SurfaceModel_Geometry/content.html
Applicable entity: IfcElement"
,,Body SweptSolid PolyCurve Geometry,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_SweptSolid_Geometry/Body_SweptSolid_PolyCurve_Geometry/content.html
Applicable entity: IfcElement",Label,CT for IfcElement.Body SweptSolid PolyCurve Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_SweptSolid_Geometry/Body_SweptSolid_PolyCurve_Geometry/content.html
Applicable entity: IfcElement"
,CT for IfcProduct,,Group,,,CT for IfcProduct,
,,Mapped Geometry,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Mapped_Geometry/content.html
Applicable entity: IfcProduct",Label,CT for IfcProduct.Mapped Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Mapped_Geometry/content.html
Applicable entity: IfcProduct"
,,Product Local Placement,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Placement/Product_Local_Placement/content.html
Applicable entity: IfcProduct",Label,CT for IfcProduct.Product Local Placement,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Placement/Product_Local_Placement/content.html
Applicable entity: IfcProduct"
,CT for IfcObject,,Group,,,CT for IfcObject,
,,Object Predefined Type,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_Predefined_Type/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Object Predefined Type,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_Predefined_Type/content.html
Applicable entity: IfcObject"
,,Object Typing,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Object_Typing/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Object Typing,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Object_Typing/content.html
Applicable entity: IfcObject"
,,Object User Identity,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_User_Identity/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Object User Identity,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_User_Identity/content.html
Applicable entity: IfcObject"
,,Property Sets for Objects,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Property_Sets/Property_Sets_for_Objects/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Property Sets for Objects,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Property_Sets/Property_Sets_for_Objects/content.html
Applicable entity: IfcObject"
,,Property Sets with Override,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts//Object_Definition/Property_Sets/Property_Sets_for_Objects/Property_Sets_with_Override/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Property Sets with Override,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts//Object_Definition/Property_Sets/Property_Sets_for_Objects/Property_Sets_with_Override/content.html
Applicable entity: IfcObject"
,,Quantity Sets,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Quantity_Sets/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Quantity Sets,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Quantity_Sets/content.html
Applicable entity: IfcObject"
,CT for IfcObjectDefinition,,Group,,,CT for IfcObjectDefinition,
,,Classification Association,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Association/Classification_Association/content.html
Applicable entity: IfcObjectDefinition",Label,CT for IfcObjectDefinition.Classification Association,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Association/Classification_Association/content.html
Applicable entity: IfcObjectDefinition"
,,Material Single,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Association/Material_Association/Material_Single/content.html
Applicable entity: IfcObjectDefinition",Label,CT for IfcObjectDefinition.Material Single,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Association/Material_Association/Material_Single/content.html
Applicable entity: IfcObjectDefinition"
,CT for IfcRoot,,Group,,,CT for IfcRoot,
,,Object Attributes,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/content.html
Applicable entity: IfcRoot",Label,CT for IfcRoot.Object Attributes,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/content.html
Applicable entity: IfcRoot"
,,Object Occurrence Attributes,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_Occurrence_Attributes/content.html
Applicable entity: IfcRoot",Label,CT for IfcRoot.Object Occurrence Attributes,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_Occurrence_Attributes/content.html
Applicable entity: IfcRoot"
Reinforcementbar 1 - Beam01,,,Object,,,IfcReinforcingBar,
,CT for IfcReinforcingBar,,Group,,,CT for IfcReinforcingBar,
,,Reinforcing Bar Attributes,Property,Attributes attached to the element,Label,CT for IfcReinforcingBar.Reinforcing Bar Attributes,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts//Object_Attributes/Object_Occurrence_Attributes/Element_Occurrence_Attributes/Reinforcing_Bar_Attributes/content.html
Applicable entity: IfcReinforcingBar"
,Qto_ReinforcingElementBaseQuantities,,Group,Base quantities that are common to the definition of all occurrences of reinforcement.,,Qto_ReinforcingElementBaseQuantities,Base quantities that are common to the definition of all occurrences of reinforcement.
,,Count,Property,5,Label,Qto_ReinforcingElementBaseQuantities.Count,Total count of reinforcing items.
,,Length,Property,66.0833 ft,Label,Qto_ReinforcingElementBaseQuantities.Length,"The nominal length of the transition section. The size information is provided in addition to the shape representation and the geometric parameters used within. In cases of inconsistency between the geometric parameters and the size properties, provided i"
,,Weight,Property,68.9 lbs,Label,Qto_ReinforcingElementBaseQuantities.Weight,The weight of the humidifier.
,Pset_ElementComponentCommon,,Group,"Set of common properties of component elements (especially discrete accessories, but also fasteners, reinforcement elements, or other types of components).",,Pset_ElementComponentCommon,"Set of common properties of component elements (especially discrete accessories, but also fasteners, reinforcement elements, or other types of components)."
,,CorrosionTreatment,Property,None,Label,Pset_ElementComponentCommon.CorrosionTreatment,Determines corrosion treatment for metal components. This property is provided if the requirement needs to be expressed (a) independently of a material specification and (b) as a mere requirements statement rather than a workshop design/ processing featur
,,DeliveryType,Property,NA,Label,Pset_ElementComponentCommon.DeliveryType,Determines how the accessory will be delivered to the site.
,,Status,Property,New,Label,Pset_ElementComponentCommon.Status,"Status of the element, predominately used in renovation or retrofitting projects. The status can be assigned to as ""New"" - element designed as new addition, ""Existing"" - element exists and remains, ""Demolish"" - element existed but is to be demolished,  ""T"
,CT for IfcElement,,Group,,,CT for IfcElement,
,,Body AdvancedSweptSolid Geometry,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_AdvancedSweptSolid_Geometry/content.html
Applicable entity: IfcElement",Label,CT for IfcElement.Body AdvancedSweptSolid Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_AdvancedSweptSolid_Geometry/content.html
Applicable entity: IfcElement"
